airport,eic,type,fractions|
default,default,diurnal_weekday,0.022179|0.002504|0.000449|0.000128|0.001416|0.010707|0.046263|0.050139|0.059332|0.060713|0.061021|0.064355|0.065629|0.057495|0.053834|0.052804|0.053622|0.052931|0.054347|0.054223|0.055534|0.053374|0.044266|0.022735
default,default,diurnal_weekend,0.018991|0.002572|0.000426|0.000122|0.001551|0.010179|0.039936|0.044058|0.057255|0.062760|0.064110|0.068100|0.069953|0.060958|0.056642|0.055279|0.055856|0.054932|0.055227|0.054282|0.053304|0.049802|0.041535|0.022170
default,default,monthly,0.971994|0.975897|0.995619|0.999152|1.000052|1.037823|1.043382|1.040269|0.992466|0.994903|0.973204|0.975239
default,default,weekly,1.036064|1.019040|1.025892|1.033859|1.037211|0.867515|0.980419
LAX,default,diurnal_weekday,0.023550|0.003730|0.000646|0.000188|0.003402|0.011033|0.038568|0.055827|0.060722|0.058935|0.061938|0.063401|0.063579|0.055833|0.051748|0.053511|0.054372|0.051952|0.055060|0.050396|0.053444|0.053625|0.048776|0.025764
LAX,default,diurnal_weekend,0.020927|0.003807|0.000604|0.000168|0.003694|0.010729|0.034617|0.051045|0.060439|0.060425|0.063551|0.065561|0.066310|0.058202|0.053878|0.055140|0.055743|0.053546|0.055580|0.049704|0.051298|0.052255|0.046944|0.025833
LAX,default,monthly,0.990660|0.994745|1.019619|1.019914|0.873761|0.992811|1.082639|1.076051|1.014934|1.013384|0.919786|1.001696
LAX,default,weekly,1.028994|1.006611|1.017082|1.029848|1.032051|0.892577|0.992837
SFO,default,diurnal_weekday,0.031436|0.003202|0.000681|0.000208|0.001790|0.011136|0.037623|0.050901|0.061375|0.058413|0.060965|0.068444|0.065017|0.058906|0.054169|0.053710|0.050120|0.046659|0.052359|0.050403|0.052098|0.049977|0.052587|0.027821
SFO,default,diurnal_weekend,0.027922|0.003049|0.000594|0.000195|0.001962|0.010635|0.035683|0.049752|0.061424|0.061246|0.063498|0.070590|0.067020|0.060342|0.054832|0.053819|0.050578|0.046839|0.051940|0.049566|0.050081|0.048579|0.052657|0.027197
SFO,default,monthly,0.973403|0.975480|1.001031|1.011022|0.869346|0.988642|1.087190|1.089980|1.034761|1.039604|0.920571|1.008970
SFO,default,weekly,1.028393|1.008849|1.019735|1.028205|1.029754|0.895397|0.989667
LGB,default,diurnal_weekday,0.009252|0.000215|0.000087|0.000033|0.000012|0.000012|0.049360|0.046886|0.051578|0.069930|0.075921|0.058127|0.060311|0.045207|0.046208|0.057014|0.066439|0.061652|0.053344|0.065938|0.077609|0.090993|0.011977|0.001895
LGB,default,diurnal_weekend,0.008572|0.000260|0.000098|0.000011|0.000011|0.000000|0.048005|0.049144|0.052269|0.067959|0.077118|0.059637|0.059810|0.048677|0.047516|0.057336|0.064899|0.061666|0.052877|0.066050|0.077139|0.087600|0.011263|0.002083
LGB,default,monthly,0.977950|0.975819|0.986281|0.992856|0.912078|1.033821|1.107258|1.107611|1.011423|0.998283|0.905856|0.990764
LGB,default,weekly,1.028264|0.985365|0.996844|1.023694|1.032743|0.919108|1.013982
SNA,default,diurnal_weekday,0.013563|0.000000|0.000000|0.000000|0.000000|0.000000|0.046024|0.050646|0.066934|0.061502|0.066187|0.072092|0.065816|0.061470|0.060268|0.057804|0.055303|0.054499|0.058375|0.059989|0.059792|0.051986|0.036646|0.001104
SNA,default,diurnal_weekend,0.011091|0.000000|0.000000|0.000000|0.000000|0.000000|0.025648|0.047703|0.065697|0.065890|0.069919|0.074685|0.071815|0.066323|0.065782|0.062961|0.058371|0.058516|0.061655|0.061094|0.055560|0.045354|0.030919|0.001017
SNA,default,monthly,1.002710|1.004717|1.014519|1.023851|0.878163|0.980891|1.045767|1.048464|1.022278|1.027022|0.943476|1.008142
SNA,default,weekly,1.055655|1.041209|1.051036|1.052996|1.053546|0.806094|0.939464
OAK,default,diurnal_weekday,0.018678|0.002344|0.000438|0.000126|0.000044|0.009854|0.048949|0.044680|0.062153|0.067442|0.057243|0.056155|0.061440|0.055080|0.050523|0.050624|0.054065|0.055694|0.059653|0.061355|0.063248|0.054312|0.043057|0.022843
OAK,default,diurnal_weekend,0.013092|0.002614|0.000407|0.000151|0.000037|0.007262|0.033241|0.035142|0.055054|0.068556|0.062770|0.062685|0.068338|0.061277|0.055175|0.054967|0.060585|0.062467|0.063575|0.064079|0.059968|0.050234|0.038410|0.019914
OAK,default,monthly,0.999655|0.997856|1.008318|1.020899|0.874441|0.993618|1.059106|1.057564|1.024520|1.023877|0.943366|0.996780
OAK,default,weekly,1.041453|1.037488|1.041709|1.041015|1.043129|0.841346|0.953860
SAN,default,diurnal_weekday,0.015839|0.001170|0.000239|0.000058|0.000017|0.000010|0.056268|0.050222|0.055368|0.060376|0.065336|0.069806|0.069454|0.062552|0.057352|0.052157|0.052676|0.051700|0.050666|0.056320|0.056732|0.050551|0.046096|0.019035
SAN,default,diurnal_weekend,0.011639|0.001127|0.000201|0.000071|0.000020|0.000058|0.050912|0.043739|0.054314|0.062342|0.067982|0.073658|0.073727|0.064915|0.060239|0.055003|0.054467|0.053489|0.052324|0.057178|0.056128|0.046066|0.042366|0.018035
SAN,default,monthly,0.982902|0.987721|1.013651|1.015161|0.880615|1.004908|1.084484|1.074951|1.016589|1.017286|0.926633|0.995099
SAN,default,weekly,1.029462|1.013372|1.021787|1.028712|1.029723|0.888238|0.988706
SBA,default,diurnal_weekday,0.023320|0.002068|0.000205|0.000037|0.000028|0.034457|0.052447|0.025501|0.062097|0.060606|0.048277|0.065811|0.067418|0.068411|0.059120|0.063905|0.050639|0.061240|0.054912|0.056156|0.043622|0.045570|0.026620|0.027533
SBA,default,diurnal_weekend,0.023354|0.002193|0.000259|0.000065|0.000039|0.032656|0.052896|0.026467|0.059227|0.063820|0.050937|0.067907|0.072124|0.071112|0.060732|0.067544|0.053895|0.062730|0.049743|0.050599|0.039299|0.041206|0.025741|0.025455
SBA,default,monthly,1.032359|1.030114|1.038822|1.017776|0.879975|0.985139|1.030502|1.038135|1.007885|1.015437|0.924291|0.999565
SBA,default,weekly,1.037281|1.010642|1.031483|1.036328|1.034006|0.861184|0.989076
SJC,default,diurnal_weekday,0.014805|0.000959|0.000198|0.000061|0.000018|0.001368|0.052804|0.052370|0.066588|0.062113|0.059582|0.061529|0.067865|0.054389|0.048745|0.049902|0.055070|0.056828|0.055349|0.060423|0.060482|0.059275|0.044993|0.014284
SJC,default,diurnal_weekend,0.010081|0.000970|0.000233|0.000034|0.000006|0.001639|0.043773|0.037696|0.056166|0.065114|0.064061|0.068985|0.076057|0.061807|0.052757|0.054742|0.060735|0.060281|0.057530|0.062893|0.057386|0.052221|0.040897|0.013936
SJC,default,monthly,0.996686|0.998114|1.014763|1.027835|0.881522|1.000160|1.068167|1.060012|1.020199|1.019852|0.935421|0.977269
SJC,default,weekly,1.053367|1.043545|1.051503|1.052169|1.053017|0.792438|0.953961
FAT,default,diurnal_weekday,0.019801|0.002938|0.000290|0.000050|0.000500|0.039084|0.071225|0.036103|0.041530|0.053055|0.049188|0.054820|0.074175|0.063617|0.070098|0.055522|0.049348|0.042505|0.057535|0.055140|0.043056|0.059212|0.031640|0.029568
FAT,default,diurnal_weekend,0.019554|0.003023|0.000365|0.000011|0.000491|0.039932|0.072860|0.036852|0.041176|0.056362|0.051239|0.058473|0.075358|0.066562|0.070612|0.056099|0.047839|0.043196|0.054126|0.053578|0.042922|0.054434|0.028158|0.026778
FAT,default,monthly,1.015669|1.017713|1.027865|1.017289|0.900730|1.021028|1.068433|1.063656|0.989616|1.000939|0.907680|0.969382
FAT,default,weekly,1.034984|1.001941|1.016738|1.029723|1.031218|0.878399|1.006997
BUR,default,diurnal_weekday,0.016661|0.000229|0.000083|0.000025|0.000018|0.000000|0.027618|0.071359|0.054887|0.065353|0.065623|0.056603|0.061376|0.059604|0.057115|0.058164|0.061497|0.061711|0.058067|0.055541|0.069994|0.076425|0.018860|0.003187
BUR,default,diurnal_weekend,0.010639|0.000206|0.000049|0.000022|0.000000|0.000000|0.025582|0.041154|0.050811|0.067415|0.070929|0.063939|0.073010|0.066997|0.064596|0.063705|0.065183|0.066074|0.060121|0.059062|0.066101|0.065161|0.016387|0.002857
BUR,default,monthly,1.001927|1.005163|1.015688|1.029788|0.893307|0.992007|1.045027|1.045219|1.023412|1.023150|0.931916|0.993396
BUR,default,weekly,1.053213|1.046167|1.053244|1.051064|1.051228|0.788048|0.957036
OXR,default,diurnal_weekday,0.02253|0.000121|0|0|0|0.050978|0.037207|0.021744|0.007671|0.168277|0.027664|0.121406|0.071515|0.016369|0.012141|0.024885|0.131312|0.061911|0.010329|0.045905|0.071575|0.0241|0.045603|0.026758
OXR,default,diurnal_weekend,0.019487|0|0.000187|0|0|0.062395|0.041222|0.020986|0.004497|0.157017|0.029979|0.147086|0.059959|0.01855|0.012741|0.026981|0.147086|0.053776|0.013491|0.038973|0.056586|0.021735|0.042721|0.024546
OXR,default,monthly,1.069757|1.092713|1.11117|1.093188|0.910019|1.028164|0.975635|0.991233|0.962028|0.949281|0.900339|0.916473
OXR,default,weekly,1.06814|1.048423|1.055185|1.060404|1.059943|0.765408|0.942496
OXR,81080411400000,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81080411400044,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81080411400045,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81080411400046,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
CMA,81080411400000,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81080411400044,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81080411400045,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81080411400046,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
OXR,81081014000000,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
OXR,81081014000044,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
OXR,81081014000045,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
OXR,81081014000046,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
CMA,81081014000000,monthly,0.940952|0.830476|0.895238|1.036190|1.169524|0.914286|0.994286|1.150476|1.158095|1.142857|0.937143|0.830476
CMA,81081014000044,monthly,0.940952|0.830476|0.895238|1.036190|1.169524|0.914286|0.994286|1.150476|1.158095|1.142857|0.937143|0.830476
CMA,81081014000045,monthly,0.940952|0.830476|0.895238|1.036190|1.169524|0.914286|0.994286|1.150476|1.158095|1.142857|0.937143|0.830476
CMA,81081014000046,monthly,0.940952|0.830476|0.895238|1.036190|1.169524|0.914286|0.994286|1.150476|1.158095|1.142857|0.937143|0.830476
OXR,81081214000000,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81081214000044,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81081214000045,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81081214000046,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
CMA,81081214000000,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81081214000044,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81081214000045,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81081214000046,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
